region_code,province_code,municipality_code,district_municipal_code,section_code,barrio_paraje_code,sub_barrio_code,level,name,official_name,normalized_name,parent_composite_code,composite_code,full_path,is_official,source,valid_from,valid_to,notes
10,01,01,01,01,003,03,sub_barrio,Villa Progreso,Villa Progreso,villa progreso,10-01-01-01-01-003-00,10-01-01-01-01-003-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Villa Progreso,True,ONE,,,
10,01,01,01,01,003,04,sub_barrio,Cuesta Brava,Cuesta Brava,cuesta brava,10-01-01-01-01-003-00,10-01-01-01-01-003-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Cuesta Brava,True,ONE,,,
10,01,01,01,01,003,05,sub_barrio,Urbanización Arroyo Manzano,Urbanización Arroyo Manzano,urbanizacion arroyo manzano,10-01-01-01-01-003-00,10-01-01-01-01-003-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Urbanización Arroyo Manzano,True,ONE,,,
10,01,01,01,01,003,06,sub_barrio,Buena Vista,Buena Vista,buena vista,10-01-01-01-01-003-00,10-01-01-01-01-003-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Buena Vista,True,ONE,,,
10,01,01,01,01,003,07,sub_barrio,Puerta de Hierro,Puerta de Hierro,puerta de hierro,10-01-01-01-01-003-00,10-01-01-01-01-003-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Puerta de Hierro,True,ONE,,,
10,01,01,01,01,003,08,sub_barrio,Madre Vieja,Madre Vieja,madre vieja,10-01-01-01-01-003-00,10-01-01-01-01-003-08,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Madre Vieja,True,ONE,,,
10,01,01,01,01,003,09,sub_barrio,Residencial Colina Bella,Residencial Colina Bella,residencial colina bella,10-01-01-01-01-003-00,10-01-01-01-01-003-09,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial Colina Bella,True,ONE,,,
10,01,01,01,01,003,10,sub_barrio,Residencial Irene,Residencial Irene,residencial irene,10-01-01-01-01-003-00,10-01-01-01-01-003-10,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial Irene,True,ONE,,,
10,01,01,01,01,003,11,sub_barrio,Residencial San Francisco de Asís,Residencial San Francisco de Asís,residencial san francisco de asis,10-01-01-01-01-003-00,10-01-01-01-01-003-11,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Arroyo Manzano > Residencial San Francisco de Asís,True,ONE,,,
10,01,01,01,01,004,00,barrio_paraje,Altos de Arroyo Hondo,Altos de Arroyo Hondo,altos de arroyo hondo,10-01-01-01-01-000-00,10-01-01-01-01-004-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo,True,ONE,,,
10,01,01,01,01,004,01,sub_barrio,Altos de Arroyo Hondo,Altos de Arroyo Hondo,altos de arroyo hondo,10-01-01-01-01-004-00,10-01-01-01-01-004-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Altos de Arroyo Hondo,True,ONE,,,
10,01,01,01,01,004,02,sub_barrio,Ciudad Real,Ciudad Real,ciudad real,10-01-01-01-01-004-00,10-01-01-01-01-004-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Ciudad Real,True,ONE,,,
10,01,01,01,01,004,03,sub_barrio,Carmen María,Carmen María,carmen maria,10-01-01-01-01-004-00,10-01-01-01-01-004-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Carmen María,True,ONE,,,
10,01,01,01,01,004,04,sub_barrio,Reparto Miguelina,Reparto Miguelina,reparto miguelina,10-01-01-01-01-004-00,10-01-01-01-01-004-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Reparto Miguelina,True,ONE,,,
10,01,01,01,01,004,05,sub_barrio,Villa Claudia,Villa Claudia,villa claudia,10-01-01-01-01-004-00,10-01-01-01-01-004-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Villa Claudia,True,ONE,,,
10,01,01,01,01,004,06,sub_barrio,Villa Isabel,Villa Isabel,villa isabel,10-01-01-01-01-004-00,10-01-01-01-01-004-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Villa Isabel,True,ONE,,,
10,01,01,01,01,004,07,sub_barrio,Villa Amanda,Villa Amanda,villa amanda,10-01-01-01-01-004-00,10-01-01-01-01-004-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Villa Amanda,True,ONE,,,
10,01,01,01,01,004,08,sub_barrio,La Ceiba,La Ceiba,la ceiba,10-01-01-01-01-004-00,10-01-01-01-01-004-08,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > La Ceiba,True,ONE,,,
10,01,01,01,01,004,09,sub_barrio,Kilómetro XI,Kilómetro XI,kilometro xi,10-01-01-01-01-004-00,10-01-01-01-01-004-09,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Kilómetro XI,True,ONE,,,
10,01,01,01,01,004,10,sub_barrio,Residencial Condado,Residencial Condado,residencial condado,10-01-01-01-01-004-00,10-01-01-01-01-004-10,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Residencial Condado,True,ONE,,,
10,01,01,01,01,004,11,sub_barrio,Don Honorio,Don Honorio,don honorio,10-01-01-01-01-004-00,10-01-01-01-01-004-11,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Don Honorio,True,ONE,,,
10,01,01,01,01,004,12,sub_barrio,Pinos Norte,Pinos Norte,pinos norte,10-01-01-01-01-004-00,10-01-01-01-01-004-12,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Pinos Norte,True,ONE,,,
10,01,01,01,01,004,13,sub_barrio,Los Guayuyos,Los Guayuyos,los guayuyos,10-01-01-01-01-004-00,10-01-01-01-01-004-13,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Los Guayuyos,True,ONE,,,
10,01,01,01,01,004,14,sub_barrio,El Ducado,El Ducado,el ducado,10-01-01-01-01-004-00,10-01-01-01-01-004-14,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > El Ducado,True,ONE,,,
10,01,01,01,01,004,15,sub_barrio,Las Colinas del Seminario I,Las Colinas del Seminario I,las colinas del seminario i,10-01-01-01-01-004-00,10-01-01-01-01-004-15,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Las Colinas del Seminario I,True,ONE,,,
10,01,01,01,01,004,16,sub_barrio,Las Ochocientas,Las Ochocientas,las ochocientas,10-01-01-01-01-004-00,10-01-01-01-01-004-16,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Las Ochocientas,True,ONE,,,
10,01,01,01,01,004,17,sub_barrio,Mirador de Girasoles,Mirador de Girasoles,mirador de girasoles,10-01-01-01-01-004-00,10-01-01-01-01-004-17,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Mirador de Girasoles,True,ONE,,,
10,01,01,01,01,004,18,sub_barrio,Residencial Madelaine,Residencial Madelaine,residencial madelaine,10-01-01-01-01-004-00,10-01-01-01-01-004-18,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Residencial Madelaine,True,ONE,,,
10,01,01,01,01,004,19,sub_barrio,Residencial Nueva Terraza,Residencial Nueva Terraza,residencial nueva terraza,10-01-01-01-01-004-00,10-01-01-01-01-004-19,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Residencial Nueva Terraza,True,ONE,,,
10,01,01,01,01,004,20,sub_barrio,Residencial Amapola,Residencial Amapola,residencial amapola,10-01-01-01-01-004-00,10-01-01-01-01-004-20,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Residencial Amapola,True,ONE,,,
10,01,01,01,01,004,21,sub_barrio,Ciudad Real II,Ciudad Real II,ciudad real ii,10-01-01-01-01-004-00,10-01-01-01-01-004-21,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Altos de Arroyo Hondo > Ciudad Real II,True,ONE,,,
10,01,01,01,01,005,00,barrio_paraje,Los Ríos,Los Ríos,los rios,10-01-01-01-01-000-00,10-01-01-01-01-005-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos,True,ONE,,,
10,01,01,01,01,005,01,sub_barrio,Los Ríos,Los Ríos,los rios,10-01-01-01-01-005-00,10-01-01-01-01-005-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Los Ríos,True,ONE,,,
10,01,01,01,01,005,02,sub_barrio,Colinas de Los Ríos,Colinas de Los Ríos,colinas de los rios,10-01-01-01-01-005-00,10-01-01-01-01-005-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Colinas de Los Ríos,True,ONE,,,
10,01,01,01,01,005,03,sub_barrio,Residencial Colinas del Seminario,Residencial Colinas del Seminario,residencial colinas del seminario,10-01-01-01-01-005-00,10-01-01-01-01-005-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Residencial Colinas del Seminario,True,ONE,,,
